iter	Passed	Remaining
413	3213	35591
414	3219	35575
415	3257	35895
416	3263	35870
417	3271	35856
418	3278	35842
419	3286	35835
420	3293	35825
421	3301	35819
422	3309	35806
423	3317	35804
424	3325	35796
425	3333	35788
426	3340	35771
427	3348	35769
428	3356	35760
429	3363	35744
430	3371	35741
431	3379	35731
432	3387	35727
433	3396	35736
434	3404	35726
435	3411	35707
436	3419	35702
437	3428	35713
438	3437	35710
439	3444	35693
440	3450	35673
441	3458	35663
442	3466	35654
443	3473	35637
444	3480	35624
445	3487	35612
446	3497	35623
447	3505	35614
448	3524	35723
449	3531	35707
450	3539	35704
451	3549	35714
452	3557	35705
453	3564	35692
454	3572	35681
455	3579	35668
456	3588	35668
457	3595	35657
458	3603	35646
459	3609	35625
460	3618	35630
461	3625	35610
462	3632	35591
463	3638	35569
464	3645	35549
465	3651	35529
466	3657	35506
467	3666	35508
468	3673	35491
469	3681	35480
470	3687	35460
471	3694	35439
472	3700	35418
473	3707	35403
474	3714	35385
475	3721	35368
476	3728	35357
477	3736	35347
478	3744	35340
479	3750	35321
480	3757	35301
481	3764	35287
482	3771	35272
483	3778	35251
484	3785	35239
485	3791	35220
486	3798	35203
487	3805	35188
488	3814	35186
489	3821	35169
490	3828	35154
491	3834	35136
492	3841	35121
493	3848	35101
494	3855	35085
495	3863	35081
496	3870	35064
497	3877	35053
498	3884	35038
499	3893	35039
500	3899	35021
501	3906	35001
502	3913	34984
503	3919	34965
504	3925	34944
505	3934	34944
506	3940	34924
507	3948	34918
508	3955	34898
509	3963	34890
510	3969	34874
511	3976	34860
512	3983	34839
513	3986	34789
514	3992	34772
515	3999	34751
516	4006	34743
517	4013	34727
518	4020	34716
519	4028	34704
520	4034	34686
521	4041	34672
522	4048	34656
523	4057	34660
524	4064	34645
525	4071	34627
526	4077	34607
527	4086	34612
528	4093	34594
529	4099	34576
530	4106	34557
531	4112	34540
532	4119	34528
533	4127	34517
534	4135	34514
535	4141	34494
536	4148	34481
537	4155	34464
538	4163	34459
539	4170	34442
540	4178	34437
541	4184	34421
542	4192	34408
543	4198	34393
544	4208	34399
545	4215	34391
546	4223	34380
547	4231	34379
548	4240	34377
549	4247	34369
550	4256	34365
551	4264	34359
552	4271	34351
553	4280	34352
554	4288	34350
555	4296	34342
556	4304	34332
557	4311	34320
558	4318	34309
559	4328	34322
560	4336	34310
561	4343	34301
562	4351	34291
563	4360	34293
564	4367	34280
565	4373	34265
566	4380	34248
567	4387	34234
568	4393	34216
569	4401	34210
570	4408	34196
571	4415	34180
572	4423	34173
573	4431	34168
574	4439	34164
575	4447	34159
576	4454	34145
577	4462	34138
578	4469	34127
579	4478	34127
580	4485	34115
581	4492	34105
582	4500	34095
583	4507	34084
584	4514	34074
585	4523	34071
586	4531	34068
587	4539	34058
588	4546	34046
589	4554	34046
590	4561	34033
591	4569	34025
592	4576	34010
593	4583	33994
594	4590	33983
595	4599	33984
596	4606	33973
597	4613	33964
598	4621	33952
599	4629	33951
600	4636	33937
601	4643	33922
602	4650	33911
603	4657	33900
604	4665	33892
605	4673	33883
606	4680	33870
607	4688	33867
608	4695	33858
609	4703	33848
610	4710	33837
611	4721	33855
612	4730	33856
613	4739	33854
614	4748	33854
615	4755	33845
616	4763	33839
617	4770	33828
618	4779	33824
619	4787	33820
620	4796	33821
621	4804	33815
622	4812	33809
623	4822	33820
624	4829	33809
625	4837	33800
626	4845	33791
627	4852	33784
628	4861	33782
629	4868	33771
630	4876	33767
631	4884	33758
632	4892	33752
633	4901	33753
634	4908	33741
635	4916	33736
636	4923	33724
637	4930	33711
638	4938	33703
639	4946	33698
640	4949	33660
641	4956	33646
642	4963	33632
643	4970	33620
644	4977	33609
645	4986	33610
646	4994	33599
647	5001	33592
648	5008	33577
649	5017	33575
650	5024	33568
651	5032	33557
652	5039	33549
653	5047	33539
654	5054	33530
655	5063	33531
656	5071	33524
657	5080	33522
658	5086	33509
659	5095	33509
660	5102	33497
661	5110	33487
662	5117	33477
663	5126	33474
664	5132	33459
665	5141	33456
666	5148	33447
667	5156	33438
668	5163	33429
669	5172	33425
670	5179	33414
671	5186	33404
672	5193	33390
673	5200	33381
674	5208	33370
675	5215	33360
676	5223	33354
677	5230	33343
678	5239	33339
679	5246	33332
680	5254	33322
681	5262	33321
682	5270	33313
683	5277	33303
684	5285	33295
685	5292	33284
686	5300	33273
687	5306	33261
688	5314	33251
689	5321	33241
690	5329	33232
691	5332	33197
692	5341	33198
693	5349	33191
694	5356	33179
695	5363	33169
696	5372	33164
697	5379	33155
698	5386	33145
699	5393	33132
700	5401	33126
701	5408	33115
702	5418	33118
703	5426	33112
704	5433	33102
705	5440	33090
706	5447	33078
707	5455	33069
708	5461	33056
709	5468	33043
710	5476	33034
711	5483	33021
712	5492	33025
713	5499	33015
714	5506	33002
715	5513	32990
716	5521	32981
717	5529	32976
718	5536	32963
719	5544	32957
720	5552	32950
721	5559	32939
722	5567	32933
723	5574	32924
724	5597	33004
725	5604	32993
726	5611	32980
727	5620	32979
728	5627	32970
729	5635	32962
730	5638	32926
731	5644	32908
732	5650	32895
733	5657	32882
734	5660	32845
735	5666	32828
736	5670	32801
737	5678	32793
738	5685	32784
739	5695	32789
740	5702	32777
741	5709	32766
742	5717	32760
743	5725	32754
744	5733	32746
745	5740	32736
746	5748	32726
747	5756	32721
748	5764	32715
749	5769	32695
750	5776	32684
751	5784	32675
752	5792	32669
753	5801	32670
754	5808	32660
755	5816	32649
756	5823	32641
757	5830	32630
758	5837	32619
759	5846	32619
760	5853	32607
761	5861	32600
762	5868	32589
763	5875	32579
764	5883	32568
765	5893	32575
766	5900	32563
767	5907	32553
768	5915	32544
769	5923	32538
770	5930	32529
771	5937	32520
772	5944	32507
773	5951	32497
774	5958	32485
775	5966	32478
776	5974	32473
777	5981	32461
778	5988	32450
779	5997	32447
780	6005	32440
781	6012	32427
782	6020	32422
783	6029	32421
784	6036	32412
785	6045	32410
786	6052	32399
787	6059	32389
788	6063	32364
789	6072	32362
790	6080	32353
791	6088	32347
792	6095	32339
793	6103	32329
794	6105	32295
795	6111	32279
796	6120	32276
797	6127	32266
798	6134	32256
799	6142	32246
800	6149	32238
801	6157	32230
802	6166	32232
803	6173	32220
804	6181	32211
805	6188	32201
806	6197	32198
807	6204	32187
808	6210	32175
809	6219	32170
810	6226	32159
811	6233	32151
812	6240	32140
813	6248	32132
814	6256	32125
815	6264	32118
816	6267	32087
817	6273	32075
818	6281	32065
819	6288	32054
820	6295	32043
821	6302	32033
822	6306	32009
823	6309	31974
824	6313	31951
825	6320	31939
826	6328	31931
827	6336	31925
828	6343	31917
829	6351	31909
830	6358	31900
831	6366	31891
832	6373	31882
833	6381	31874
834	6388	31864
835	6396	31861
836	6404	31852
837	6411	31841
838	6418	31830
839	6426	31824
840	6433	31817
841	6443	31817
842	6445	31783
843	6451	31767
844	6459	31760
845	6467	31758
846	6475	31749
847	6482	31740
848	6489	31731
849	6493	31703
850	6500	31692
851	6508	31684
852	6516	31679
853	6523	31669
854	6531	31665
855	6538	31654
856	6548	31655
857	6554	31643
858	6562	31634
859	6569	31625
860	6576	31616
861	6583	31603
862	6593	31606
863	6600	31595
864	6607	31587
865	6615	31578
866	6622	31567
867	6628	31555
868	6636	31549
869	6643	31538
870	6651	31529
871	6658	31520
872	6667	31521
873	6675	31512
874	6678	31484
875	6684	31469
876	6692	31460
877	6699	31452
878	6707	31445
879	6716	31447
880	6724	31438
881	6731	31429
882	6739	31422
883	6746	31413
884	6755	31411
885	6758	31382
886	6764	31368
887	6772	31361
888	6775	31333
889	6782	31320
890	6791	31318
891	6798	31308
892	6805	31297
893	6812	31288
894	6821	31287
895	6828	31278
896	6835	31268
897	6844	31265
898	6852	31257
899	6860	31253
900	6868	31248
901	6875	31237
902	6883	31230
903	6887	31205
904	6894	31194
905	6901	31185
906	6908	31177
907	6915	31167
908	6923	31160
909	6930	31151
910	6940	31150
911	6946	31138
912	6954	31131
913	6961	31120
914	6968	31111
915	6975	31102
916	6985	31103
917	6993	31096
918	6999	31084
919	7007	31076
920	7016	31073
921	7024	31068
922	7030	31055
923	7033	31027
924	7039	31010
925	7046	31000
926	7052	30986
927	7060	30983
928	7067	30971
929	7074	30959
930	7080	30947
931	7088	30940
932	7095	30929
933	7102	30921
934	7106	30895
935	7112	30880
936	7118	30867
937	7124	30853
938	7132	30844
939	7139	30836
940	7146	30827
941	7153	30814
